Date,Steps
01-07-2023,7856
02-07-2023,13347
03-07-2023,9876
04-07-2023,6547
05-07-2023,7367
06-07-2023,8937
07-07-2023,9034
08-07-2023,10483
09-07-2023,7073
10-07-2023,8367
11-07-2023,14383
12-07-2023,8373
13-07-2023,8368
14-07-2023,18356
15-07-2023,11383
16-07-2023,12889
17-07-2023,7368
18-07-2023,9838
