Date,Steps
01-07-2023,12807
02-07-2023,3356
03-07-2023,8214
04-07-2023,13318
05-07-2023,7901
06-07-2023,4687
07-07-2023,5918
08-07-2023,5180
09-07-2023,8885
10-07-2023,5668
11-07-2023,4946
12-07-2023,9437
13-07-2023,8961
14-07-2023,9110
15-07-2023,6906
16-07-2023,4772
17-07-2023,5217
18-07-2023,8585
